"","Geneid","2i_counts","S_counts"
"742","2310026L22Rik",1.5,3.5
"743","2310030A07Rik",0,0
"744","2310030G06Rik",138,128
"745","2310033P09Rik",274.5,348.5
"746","2310034C09Rik",0,0.5
"747","2310034G01Rik",5,8.5
"748","2310034O05Rik",0,0
"749","2310039H08Rik",85.5,80.5
"750","2310039L15Rik",13.5,2
"751","2310040G07Rik",1,0
"752","2310040G24Rik",11.5,13.5
"753","2310043L19Rik",0,0
"754","2310043M15Rik",406.5,25.5
"755","2310043O21Rik",0,0
"756","2310043P16Rik",2,1.5
"757","2310044K18Rik",0.5,0
"758","2310046K23Rik",0,0
"759","2310047D07Rik",0,2
"760","2310050C09Rik",0,0
"761","2310057J18Rik",0,0
"762","2310057M21Rik",604,518.5
"763","2310057N15Rik",0,0
"764","2310058D17Rik",2.5,4
"765","2310061I04Rik",787,704.5
"766","2310061N02Rik",0,0
"767","2310065F04Rik",0,0
"768","2310067P03Rik",0,0
"769","2310068J16Rik",10.5,19
"770","2310069B03Rik",3,0
"771","2310074N15Rik",0.5,0.5
"772","2310075C17Rik",0,0
"773","2310079G19Rik",0,0
"774","2310081O03Rik",0,0
"775","2400006E01Rik",96.5,74.5
"776","2410002F23Rik",2610.5,1961.5
"777","2410003I16Rik",172.5,20.5
"778","2410003L11Rik",331,285.5
"779","2410004B18Rik",560,588.5
"780","2410004I01Rik",2,7.5
"781","2410004P03Rik",7,15
"782","2410006H16Rik",1242,1062.5
"783","2410012E07Rik",0,0
"784","2410017I17Rik",9,7
"785","2410018L13Rik",22.5,12
"786","2410021H03Rik",44.5,19
"787","2410022M11Rik",16,29.5
"788","2410024N13Rik",1,0
"789","2410080I02Rik",5.5,11
"790","2410124H12Rik",23,19.5
"791","2410131K14Rik",723.5,669.5
"792","2410137M14Rik",362.5,28.5
"793","2410141K09Rik",880.5,461.5
"794","2410152P15Rik",1.5,0.5
"795","2500002B13Rik",224,123
"796","2500004C02Rik",23.5,23.5
"797","2510002D24Rik",315.5,168.5
"798","2510009E07Rik",723.5,45.5
"799","2510016D11Rik",5.5,6.5
"800","2510017J16Rik",0.5,0
"801","2510039O18Rik",2117.5,1566
"802","2510046G10Rik",6.5,5.5
"803","2600002D14Rik",0,0
"804","2600006K01Rik",8.5,6.5
"805","2600014E21Rik",1,0
"806","2610001A08Rik",0,0
"807","2610001J05Rik",629,676.5
